operation_id,method,path,kind,idempotency,auth_plane,request_contract_owner,response_contract_owner,milestone
requirement_rules.create,POST,/v1/workspaces/{workspaceId}/requirement-rules,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
requirement_occurrences.create,POST,/v1/assignments/{assignmentId}/requirement-occurrences,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
requirement_occurrences.bulk_instantiate,POST,/v1/projects/{projectId}/requirement-occurrences/bulk,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
evidence_links.create,POST,/v1/occurrences/{occurrenceId}/evidence-links,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
requirement_notices.create,POST,/v1/occurrences/{occurrenceId}/notices,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
notice_attendance.record,POST,/v1/notices/{noticeId}/attendance,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
internal_reviews.decide,POST,/v1/occurrences/{occurrenceId}/review-decisions,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
unevidenced_closures.create,POST,/v1/stages/{stageId}/unevidenced-closures,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
unevidenced_closures.clear,POST,/v1/unevidenced-closures/{closureId}/clearances,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
packages.create,POST,/v1/contracts/{contractId}/packages,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
package_versions.create,POST,/v1/packages/{packageId}/versions,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
package_versions.freeze,POST,/v1/package-versions/{versionId}/freeze,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
packages.head_advance,POST,/v1/packages/{packageId}/head-advance,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
packages.corrected_successor,POST,/v1/packages/{packageId}/corrected-successor,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
package_versions.get,GET,/v1/package-versions/{versionId},query,natural,member,@goproceed/contracts,@goproceed/contracts,v0.2
package_artifacts.download,GET,/v1/package-versions/{versionId}/artifacts/{artifactId},query,natural,member,@goproceed/contracts,@goproceed/contracts,v0.2
package_submissions.create,POST,/v1/package-versions/{versionId}/submissions,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
external_grants.issue,POST,/v1/package-versions/{versionId}/grants,command,required,member,@goproceed/contracts,@goproceed/contracts,v0.2
external.scope,GET,/external/scope,query,natural,external,@goproceed/contracts#external,@goproceed/contracts#external,v0.2
external.decisions_submit,POST,/external/decisions,command,required,external,@goproceed/contracts#external,@goproceed/contracts#external,v0.2
value_at_risk.get,GET,/v1/projects/{projectId}/value-at-risk,query,natural,member,@goproceed/contracts,@goproceed/contracts,v0.2
acceptance.get,GET,/v1/contracts/{contractId}/acceptance,query,natural,member,@goproceed/contracts,@goproceed/contracts,v0.2
